bookID,specialist_rating,reader_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,age
1,2.23,2.42,439785960,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,6-8
2,2.36,2.01,439358078,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,6-8
3,2.32,1.8,439554896,9780439554893,eng,352,6333,244,11/1/2003,Scholastic,6-8
4,1.82,1.48,043965548X,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,6-8
5,1.83,2.37,439682584,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic,6-8
6,2.36,2.58,976540606,9780976540601,en-US,152,19,1,4/26/2005,Nimble Books,6-8
7,2.05,2.14,439827604,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic,6-8
8,2.55,2.36,517226952,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books,6-8
9,2.01,1.76,345453743,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books,6-8
10,1.06,2.97,1400052920,9781400052929,eng,215,4930,460,8/3/2004,Crown,6-8
11,1.94,2.01,739322206,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio,6-8
12,0.54,,517149257,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,6-8
13,3.43,1.26,076790818X,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books,6-8
14,1.51,3.46,767915062,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books,6-8
15,0.74,2.97,767910435,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books,6-8
16,1.27,2.62,767903862,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books,6-8
17,1.45,1.33,076790382X,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books,6-8
18,1.49,2.29,60920084,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,6-8
19,2.53,2.54,380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,6-8
20,2.46,2.46,380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,6-8
21,2.4,2.51,380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,6-8
22,1.71,2.27,345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,6-8
23,2.37,2.03,618517650,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,6-8
24,1.18,3.43,618346252,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,6-8
25,0.4,2.12,618260587,9780618260584,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,6-8
26,2.14,2.09,618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,6-8
27,0.98,0.79,618510826,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,6-8
28,2.81,2.45,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,6-8
29,1.81,3.36,689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,6-8
30,2.29,2.67,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,6-8
31,1.8,2.64,385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,6-8
32,2.13,1.52,1575606240,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company,6-8
33,1.86,1.63,1595580271,9781595580276,en-US,228,99,16,11/1/2005,The New Press,6-8
34,0.9,1.47,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,6-8
35,3.26,2.34,670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,6-8
36,1.92,1.46,141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird,6-8
37,1.34,1.84,595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,6-8
38,1.36,1.57,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,6-8
39,1.12,2.7,449146979,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,6-8
40,1.11,1.21,61159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,6-8
41,0.61,2.31,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,6-8
42,2.23,2.47,60749911,9780060749910,eng,576,22,3,6/15/2004,Harper,6-8
43,2.51,1.2,273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press,6-8
44,2.27,1.72,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia,6-8
45,1.8,,374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,6-8
46,1.92,0.96,374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,6-8
47,4.06,1.54,374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,6-8
48,2.53,2.29,374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,6-8
49,1.35,1.03,374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,6-8
50,2.05,3,374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,6-8
51,1.74,3.73,374519323,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,6-8
52,1.88,2.23,374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,6-8
53,1,2,374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,6-8
54,1.21,4.01,822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,6-8
55,2.46,2.33,679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,6-8
56,1.6,1.96,1596670231,9781596670235,eng,138,31,1,3/29/2006,Routledge,6-8
57,2.94,2.66,1581807740,9781581807745,en-US,128,62,4,3/14/2006,North Light Books,6-8
58,0.94,2.35,800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,6-8
59,3.22,1.64,871202867,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,6-8
60,2.44,2.95,753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,6-8
61,1.44,1.86,871209993,9780871209993,eng,192,55,5,11/15/2004,ASCD,6-8
